Config,Activation,Model,accuracy,f1_score,precision,recall,roc_auc,training_time
"[16, 32, 64]_[2, 1, 1]_elu",elu,CNN + SVM,0.8042105263157895,0.79978629132765,0.8009934181554434,0.8042105263157895,0.9357216447578275,13.607786655426025
"[16, 32, 64]_[2, 1, 1]_elu",elu,CNN + XGBoost,0.7473684210526316,0.7395892031266471,0.7405957012143669,0.7473684210526316,0.9357216447578275,13.056089878082275
"[32, 64, 128]_[1, 1, 1]_relu",relu,CNN + Softmax,0.868421052631579,0.8723955228454535,0.8843535265485684,0.868421052631579,0.9801504263689527,13.82528829574585
"[32, 64, 128]_[1, 1, 1]_relu",relu,CNN + SVM,0.8863157894736842,0.8833038309624465,0.8839487755614968,0.8863157894736842,0.9801504263689527,20.414857864379883
"[32, 64, 128]_[1, 1, 1]_relu",relu,CNN + XGBoost,0.8252631578947368,0.81678264107497,0.8209756667739294,0.8252631578947368,0.9801504263689527,13.931737184524536
"[32, 64, 128]_[1, 1, 1]_leaky_relu",leaky_relu,CNN + Softmax,0.8673684210526316,0.8691820379679734,0.8779918701782499,0.8673684210526316,0.9780567906208903,12.820728302001953
"[32, 64, 128]_[1, 1, 1]_leaky_relu",leaky_relu,CNN + SVM,0.8852631578947369,0.881387839538533,0.883272148588687,0.8852631578947369,0.9780567906208903,17.98117232322693
"[32, 64, 128]_[1, 1, 1]_leaky_relu",leaky_relu,CNN + XGBoost,0.8368421052631579,0.8263500826562825,0.8298232081190986,0.8368421052631579,0.9780567906208903,12.9723219871521
"[32, 64, 128]_[1, 1, 1]_elu",elu,CNN + Softmax,0.8410526315789474,0.8456287233641397,0.8597631901766937,0.8410526315789474,0.9771296398891967,15.494691133499146
"[32, 64, 128]_[1, 1, 1]_elu",elu,CNN + SVM,0.8663157894736843,0.8620619421781445,0.8617490434209971,0.8663157894736843,0.9771296398891967,22.068357944488525
"[32, 64, 128]_[1, 1, 1]_elu",elu,CNN + XGBoost,0.8178947368421052,0.8068056014065602,0.8094374327108957,0.8178947368421052,0.9771296398891967,15.728492736816406
"[32, 64, 128]_[2, 1, 1]_relu",relu,CNN + Softmax,0.8189473684210526,0.8212382466535262,0.8273947074037787,0.8189473684210526,0.9682206443940793,16.998292922973633
"[32, 64, 128]_[2, 1, 1]_relu",relu,CNN + SVM,0.86,0.8591558444633304,0.8596404660413628,0.86,0.9682206443940793,14.99526071548462
"[32, 64, 128]_[2, 1, 1]_relu",relu,CNN + XGBoost,0.7989473684210526,0.7943574532044706,0.8011470038354029,0.7989473684210526,0.9682206443940793,13.73481011390686
"[32, 64, 128]_[2, 1, 1]_leaky_relu",leaky_relu,CNN + Softmax,0.8094736842105263,0.813099849635077,0.8257460564132987,0.8094736842105263,0.9664385008534094,15.768882751464844
"[32, 64, 128]_[2, 1, 1]_leaky_relu",leaky_relu,CNN + SVM,0.8557894736842105,0.8548693423927016,0.8565161969487863,0.8557894736842105,0.9664385008534094,14.295364379882812
"[32, 64, 128]_[2, 1, 1]_leaky_relu",leaky_relu,CNN + XGBoost,0.8231578947368421,0.8186349160332135,0.8191867646219623,0.8231578947368421,0.9664385008534094,13.065934896469116
"[32, 64, 128]_[2, 1, 1]_elu",elu,CNN + Softmax,0.7747368421052632,0.7841376129095589,0.8089078153700783,0.7747368421052632,0.9614585378438121,16.273667097091675
"[32, 64, 128]_[2, 1, 1]_elu",elu,CNN + SVM,0.8410526315789474,0.8380376631653678,0.8374641622760716,0.8410526315789474,0.9614585378438121,14.581335306167603
"[32, 64, 128]_[2, 1, 1]_elu",elu,CNN + XGBoost,0.783157894736842,0.7759168830412853,0.7780104204884307,0.783157894736842,0.9614585378438121,13.896740436553955
